"爐子型號"	"爐子挖孔尺寸"
"RB-D2600"	"670x350xR85"
"CH-308A"	"660*330*R60"
"PD-862WS-75CV"	"565*460*R10-6.5"
"JZT-QIGL2C"	"650*350*R20"
"G2112G"	"挖285×485(R12)
面315×510mm"
"VI232121"	"268*492"
"CS7612"	"358*500"
"EG-2350"	"680*410"
"RB-A2660S"	"670*350*R85"
"RB-A2660"	"670*350*R85"
"JT-GC111A"	"挖270*390*R28.5
面320x460"
"EA2G"	"735*415"
"RB-223IHA"	"720×425(R0)"
"P903BPROX"	"850*480"
"VEG2330"	"670*350*R85"
"X2-6000MB"	"710*410*R5"
"CI282102"	"782*492*R3"
"N201GB"	"670*350*R85"
"JT-GC277AS"	"670*350*R85"
"FMY 658 I FP BK"	"580x490"
"KY-A1W70"	"710*368*R5"
"Q4 60MB7400 TW"	"560*490"
"SB-2190S"	"670*350*R85"
"RB-N2621G"	"670*350*R85"
"RB-N2601S"	"670*350*R85"
"RB-N2601G"	"670*350*R85"
"RB-H2231HA"	"720*425*R0"
"MB-N2601G"	"670*350*R85"
"HT-N100KTWF"	"565*460*R10(前沿6.5開挖)"
"CI262-105"	"560*500"
"PD-893WT-U75GH"	"挖 565*460*R10
前沿6.5開挖"
"ICBIM15G/S"	"356*489"
"JZT-AB-B20"	"630*330*R20"
"MB-N2601S"	"670*350*R85"
"SG-33SA"	"W805 x D445 mm"
"FH-ID3120"	"680*410"
"EG2331AG"	"680*410"
"PC73GNOTW"	"(560~564)*(482~486)*R5"
"G-2627G"	"728*468*R113"
"CI272100"	"672*500*R5"
"SG-33S"	"W805 x D445mm"
"JT-EG268"	"720*420"
"ICBMM15TF-S"	"356*495"
"ICBMM15TF/S"	"356*495"
"ICBCG152TF/S"	"356*495"
"ICBCG152TF-S"	"356*495"
"GH7055-L"	"705*405"
""	""
""	""
""	""
""	""
""	""
""	""
"GS-333B"	"728*468*R105"
"GS293"	"670*350*R30"
"GS297"	"660mm *330 mm R60"
"H-809"	"外徑尺寸：730*460mm
內徑尺寸：700*400mm(適合挖W3-3mm)"
"HT-B60S"	"565*460*R10(前沿6.5開挖)"
"HT-M300XTWF"	"565*460*R10(前沿6.5開挖)"
"IB-321"	"272*502*R5"
"ICBCT 15G/S"	"356*489"
"ICBIM 15/S"	"356*489"
"IF-700CS"	"560*490"
"PI-6530 ATPO"	"560*490"
"IH-1017"	"282*509*R5"
"SIH-BH327BTW"	"690x390"
"SB-2206"	"670*350*R85"
"RB-L3700S"	"725*465*R85"
"GS2303"	"670×350mm R50"
"SRV572XGCTW"	"564*482*R5"
"RB-2660GB"	"670*350*R85"
"IH-1032"	"300*320"
"IH-1050"	"280*507"
"IH-201"	"315*375"
"IH-2015"	"280*507*R5"
"IH-2038"	"720*425"
"IH-2070"	"280*480"
"IH-2360"	"722*427*R5"
"IH-2365"	"外觀尺寸:750×450×81
挖孔:720×425"
"IH-2370"	"720*425"
""	""
"IH-2860"	"282*482*R5"
"IH-2865"	"728*428*R5"
"JH-GC288AT"	"725*465*92.5"
"MB-D3700G"	"725*465*R85"
"MB-D2600G"	"670*350*R85"
"HIP-72B2-L"	"710*410"
"IG-620 1G"	"560*495"
"RB-202GB"	"670*350*R85"
"RB-2280"	"630*367"
"RB-L2600GB"	"670*350*R85"
"VE230614"	"268*490
288*523"
"RB-2600S"	"670*350*R85"
"IH-7331231"	"560X490"
"IH-740"	"740*475"
"IH2860"	"282*482"
"RB-N3811G"	"815×405(R0)"
"JT-GC229AS"	"670x350 ∕ R85"
"JT-IH236-IH"	"688*388"
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
""	""
"JT-IH239S"	"670*350*R85"
"IH2895"	"挖孔尺寸(mm)    720×425"
"IR-6030"	"570*480*R5"
"IR-721"	"697*362*R5"
"IR721"	"697*362*R5"
"IRF-3200"	"面300X520
挖270X500"
"IRS-633"	"560*490*R5"
"IT 6350"	"外徑尺寸：605*515mm
內徑尺寸：560*490mm"
""	""
""	""
""	""
"IT-1188"	"352*492*R5"
"JG-2790S嵌爐"	"670*350前沿8"
"JIS-840PR"	"外徑:840X510
內徑:760X430"
"JIS-840PR"	"外徑840*515*185
內徑:760*430"
"JT-108C"	"外徑尺寸 : 830*525
內徑尺寸 : 750*452"
"JT-108CF"	"外830*525
內750*452"
"JT-123"	"外徑：880x510x235mm
內徑：520x435x220mm"
"JT-1620"	"外徑 620x470x215 mm
內徑 : 560x410x215 mm
前沿70開挖595X445"
"JT-1669L"	"外:690*500
內:600*410
前沿70開挖650X462"
"JT-1669B"	"外:690*500
內:600*410
前沿70開挖650X462"
"JT-1700"	"外徑：710×510×225mm
內徑：615×420×215mm"
"IZF-65320"	"560*490"
"JT-1790"	"外徑：790X 525 X 215mm
內徑：680X 415X 200mm"
"JT-1790"	"前沿70開挖738X472"
"JT-1820"	"外徑：820×520×220mm
內徑：750×445×220mm"
"JT-2008A"	"670*350*R85"
"JT-2009A"	"770×450×120
670×350×R85 "
"JT-2099A"	"挖洞尺寸(W×D/R )mm：670×350/85"
"JT-2111A"	"270*390*R28.5"
""	""
"JT-2201A"	"665*402*R92.5"
"JT-2203A"	"665*402*R92.5"
"JT-2208A"	"670*350*R85"
""	""
"BR-F212G"	"725×465(R85)"
"RB-2CDG"	"703x403"
"JT-2213A"	"665*402*R92.5"
"F312GB"	"725*465*R85"
"EG2231GB"	"270*490"
"200GH"	"670*350*R85"
"G-2921GBL"	"728*468*R113"
"N-201G"	"670*350*R85"
""	""
""	""
""	""
"JT-2213AS"	"670*350*R85"
"JT-2268S嵌爐"	"670*350R10前沿8"
"JT-2303A"	"725*465*R92.5"
"JT-2303S"	"725*465*R92.5"
"JT-3001"	"725*465*R92.5"
"JT-7045"	"外徑：700X450X240mm
內徑：660X410X240mm"
"JT-730A"	"外:730x520x220mm
內:665x455x220mm"
"JT-7510"	"外徑：751X446X229mm(方型槽，建議做W3(凸1~3mm)
內徑：711X406X229mm"
"JT-7744"	"外徑 770 x 440 x 240 mm
內徑 : 740x 410 x 240 mm"
"JT-7744"	"前沿75開挖740X410"
"JT-7800"	"263*483"
"JT-7800"	"挖洞尺寸(mm)	483 x 263 mm"
"JT-7800蔬果機"	"263*483*R10"
"JT-8545"	"外徑 495x452x200 mm
內徑 : 400x450 x195 mm"
"JT-8545"	"前沿70開挖411X459"
"JT-A6015"	"外徑 : 760 x 520 x 220 mm
內徑 : 685 x 445x 220  mm"
"JT-A6016"	"外徑 :690x525 x 22
內徑 600x410x 22"
"JT-A6017"	"外徑尺寸730 x 520 x 220 mm
內徑尺寸665 x 455 x 220 mm"
"JT-A6018"	"外徑:	820 x 520 x 230 mm"
"JT-GC209AGB"	"670*350*R85"
"JT-GC209S"	"670*350*R85"
"JT-GC288AL"	"725*465*R92.5"
"JT-GC288AS"	"670*350*R85"
"JT-GC288ASW"	"670*350*R85"
"JT-GC288ASWN"	"670*350*R85"
"JT-GC209APB"	"670*350*R85"
"IH-2099"	"672×372"
"JT-GC288AT"	"725*465*R92.5"
"JT-GC388A"	"挖洞(W)725 x (D)465 / 92.5 mm"
"JT-IH238"	"720*425"
"JTEG-101"	"313*333
面:330*350"
"JTEG-101"	"面板 : 330x 350 
內徑 : 313x 333"
"JTEG-1011"	"315*335"
"JTEG200"	"270*490"
"JT-IH238XSA"	"560*360"
"IZS3460"	"280*490"
"JTEG-100"	"270*490"
"RB-L3710G(BL)"	"725*465*R85"
"K-96117T-0"	"尺寸：533*368mm"
"KBG-110-70(深灰)"	"前沿80開挖747X416"
"KBG110-50"	"外      徑   54 x 44 x 20 cm
槽      身   50 x 40 x 20 cm"
"SB-2200"	"670*350*R85"
"KL-001"	"外徑：630 X 480 X 215 mm
內徑：560 X 410 X 200 mm"
"KL-003"	"外徑：760 X 500 X 215 mm
內徑：670 X 410 X 200 mm"
"KL-006A"	"外:435*435*55
內:380*380*50"
"KL-006B"	"外:435*435*185
內:380*380*180"
"KL-006B+消音墊"	"外:435*435*185
內:380*380*180"
"KL-101"	"外徑：700 X510 X 230 mm
內徑：650 X 460 X 215 mm
前沿70開挖680X490"
"KL-101B"	"外徑：700 X510 X 230 mm
內徑：650 X 460 X 215 mm
前沿70開挖680X490"
"KL-101F"	"外徑：700X 510 X 230mm
內徑：650X 460 X 215mm
前沿70開挖680X490"
"KL-102"	"外徑：690 X510 X 220 mm
內徑：630 X 455X 220 mm"
"KL-103"	"外徑：600X 510 X 215mm
內徑：520X 430 X 210mm"
"KL-101W"	"外徑：700 X510 X 230 mm
內徑：650 X 460 X 215 mm"
"TEKA IZ 7210"	"690*360"
"EG2330GB"	"680*410"
"RBQ-230GB"	"670*350*R85"
"RBGN71W5GA3XSVLTR"	"560*460*R30"
"RB-F-212GB"	"725*465*R85"
"EHI945BE"	"880*490*R5"
"EHI7280BE"	"680*400*R5"
"H-1180"	"272*410
面300*450"
"JT-2100S"	"670*350*R85"
"EHI7280BB"	"680*400*R5"
"G2923AGB"	"670*350*85"
""	""
""	""
""	""
""	""
""	""
""	""
""	""
"D2600G"	"670*350*R85"
"KL-103"	"前沿70開挖567X478"
"JT-GC209A"	"670*350*R85"
"KL-104"	"外徑：690X 500 X 215mm
內徑：600X 410 X 200mm"
"KL-105"	"外徑：780X 510 X 230mm
內徑：730X 460 X 215mm
前沿70開挖757X487"
"KL-105BL"	"外徑：780X510
內徑：730 X 460"
"KL-105FL"	"前沿70開挖757X487"
"KL-105FR"	"前沿70開挖757X487"
"KL-105L"	"外徑：780 X510 X 230 mm
內徑：730 X 460X 215 mm"
"KL-105R"	"外徑：780 X510 X 230 mm
內徑：730 X 460X 215 mm
前沿70開挖757X487"
"KL-166"	"外徑：820 X520 X 225 mm
內徑：735X 460X 215 mm
前沿45開挖775X500"
