brand,color,imageUrl
"ABK","ROMA IMPERIALE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_5ftixviiuq.jpg"
"ABK","純色-黑","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_n38uabxba4.jpg"
"ABK","CHROME-BLACK","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_n38uabxba4.jpg"
"ABK","純色-白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_ejkzsxqfed.jpg"
"ABK","CHROME-WHITE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_ejkzsxqfed.jpg"
"ABK","銀彩","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_f76zanhszk.jpg"
"ABK","SUPERWHITE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_f76zanhszk.jpg"
"ABK","灰月光石","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_ick35rr8qr.jpg"
"ABK","LABRADORITE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_ick35rr8qr.jpg"
"ABK","白木紋","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_gtm2wk22fh.jpg"
"ABK","MONTBLANC","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_gtm2wk22fh.jpg"
"ABK","冰河石","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_u958zrbksy.jpg"
"ABK","ICEBERG","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_u958zrbksy.jpg"
"ABK","卡拉卡塔金","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_h4xqm6ut5k.jpg"
"ABK","CALACATTA GOLD","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_h4xqm6ut5k.jpg"
"ABK","銀河灰","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_zest2tk5a5.jpg"
"ABK","SAVOY","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_zest2tk5a5.jpg"
"ABK","黑金線","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_95ks4cnrh5.jpg"
"ABK","NOIR LAURENT","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_95ks4cnrh5.jpg"
"ABK","黑雲石","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_39i3q75fx6.jpg"
"ABK","CLASSIC MARQUINIA","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_39i3q75fx6.jpg"
